Season,Name,Team,Age,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,PlayerId,Position
2019,Cheslor Cuthbert,Royals (AAA),26,51,197,219,61,35,17,1,8,25,35,17,1,46,3,2,0,10,0,0,0.30964467,10473,1B
2019,David Freitas,Brewers (AAA),30,65,234,269,89,65,17,0,7,36,55,30,1,41,2,2,0,12,0,1,0.38034188,10619,1B
2019,Carlos Perez,Orioles (AA),28,66,242,267,63,39,14,0,10,25,38,14,1,33,5,5,1,6,0,0,0.260330578,10642,1B
2019,Rangel Ravelo,Cardinals (AAA),27,77,268,303,84,56,18,1,9,40,43,27,1,53,7,1,0,4,0,1,0.313432835,10839,1B
2019,Andy Wilkins,Braves (AA),30,37,113,133,23,15,4,0,4,11,11,17,0,44,1,2,0,1,0,0,0.203539823,11251,1B
2019,Kaleb Cowart,Angels (AA),27,11,39,42,7,5,1,0,1,4,2,2,0,11,0,1,0,2,0,0,0.179487179,11494,1B
2019,Travis Taijeron,Mets (AAA),30,94,287,353,69,25,18,3,23,52,64,52,0,131,12,2,0,9,5,3,0.240418118,11935,1B
2019,Travis Shaw,Brewers (AAA),29,28,91,119,26,16,1,0,9,18,22,26,0,26,1,1,0,0,3,1,0.285714285,11982,1B
2019,Matt Skole,White Sox (AAA),29,91,310,387,77,41,15,0,21,65,55,69,4,98,2,5,0,6,0,0,0.248387096,12119,1B
2019,Brock Stassi,Giants (AA),29,25,73,85,23,17,4,0,2,8,10,12,0,13,0,0,0,1,0,1,0.315068493,12244,1B
2019,Ryan Court,Mariners (AAA),31,37,129,154,36,17,8,2,9,28,37,21,0,42,1,3,0,1,2,0,0.279069767,12268,1B
2019,Jace Peterson,Orioles (AAA),29,90,326,377,102,62,25,5,10,58,46,46,0,56,2,3,0,6,13,3,0.312883435,12325,1B
2019,Taylor Motter,Tigers (AA),29,10,27,35,4,3,0,1,0,3,2,5,0,8,1,2,0,2,1,0,0.148148148,12399,1B
2019,Alex Dickerson,Padres (AAA),29,26,94,113,35,24,5,1,5,17,20,14,0,18,4,1,0,3,0,0,0.372340425,12649,1B
2019,Nicky Delmonico,White Sox (AAA),26,17,63,76,18,8,7,0,3,13,10,10,1,12,1,2,0,0,1,0,0.285714285,13157,1B
2019,Peter O'Brien,Marlins (AAA),28,44,148,168,35,21,2,0,12,24,29,20,2,64,0,0,0,1,0,0,0.236486486,13288,1B
2019,Jake Lamb,Diamondbacks (AAA),28,12,39,46,7,4,2,0,1,5,7,7,0,12,0,0,0,0,0,0,0.179487179,13329,1B
2019,Cameron Perkins,Dodgers (AAA),28,72,254,282,72,44,20,1,7,37,31,21,1,41,7,0,0,7,7,1,0.283464566,13444,1B
2019,Patrick Kivlehan,Blue Jays (AAA),29,58,209,240,57,31,9,1,16,36,45,25,1,62,5,1,0,6,0,1,0.272727272,13910,1B
2019,Dilson Herrera,Mets (AAA),25,88,301,341,76,32,22,1,21,54,46,31,2,95,8,1,0,3,9,4,0.252491694,14335,1B
2019,Gabriel Guerrero,Marlins (AA),25,9,35,35,9,7,1,1,0,5,3,0,0,7,0,0,0,1,0,0,0.257142857,14528,1B
2019,Jordan Patterson,Blue Jays (AAA),27,88,304,339,73,41,17,2,13,54,40,22,2,107,10,1,2,12,3,1,0.240131578,15119,1B
