Season,Name,Team,Age,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,PlayerId,Position
2019,Nick Franklin,Angels (AAA),28,17,60,70,19,11,4,1,3,13,18,8,0,12,1,1,0,0,1,1,0.316666666,10166,3B
2019,Adeiny Hechavarria,Mets (AAA),30,25,92,102,32,23,9,0,0,15,17,6,1,14,1,3,0,1,2,1,0.347826086,10459,3B
2019,Cheslor Cuthbert,Royals (AAA),26,51,197,219,61,35,17,1,8,25,35,17,1,46,3,2,0,10,0,0,0.30964467,10473,3B
2019,Christian Colon,Reds (AAA),30,105,394,462,113,75,30,1,7,52,53,48,0,46,5,7,8,15,20,10,0.28680203,11145,3B
2019,Mike Freeman,Indians (AAA),31,9,24,33,5,2,0,0,3,6,3,9,0,7,0,0,0,2,1,0,0.208333333,11241,3B
2019,Adrian Sanchez,Nationals (AA),28,52,199,215,64,43,14,1,6,34,26,12,1,28,2,2,0,6,9,5,0.32160804,11338,3B
2019,Kaleb Cowart,Angels (AAA),27,56,218,241,63,41,12,2,8,34,49,18,1,45,1,3,1,3,1,4,0.288990825,11494,3B
2019,Rosell Herrera,Marlins (AAA),26,18,57,63,18,11,6,0,1,7,7,6,0,12,0,0,0,0,2,0,0.315789473,11611,3B
2019,Yadiel Rivera,Marlins (AAA),27,61,223,233,71,50,9,1,11,31,34,4,0,53,2,2,2,7,12,6,0.31838565,11863,3B
2019,Orlando Calixte,Mariners (AAA),27,25,97,104,27,23,2,0,2,13,10,7,0,24,0,0,0,2,3,2,0.278350515,11905,3B
2019,Travis Shaw,Brewers (AAA),29,28,91,119,26,16,1,0,9,18,22,26,0,26,1,1,0,0,3,1,0.285714285,11982,3B
2019,Jon Berti,Marlins (AAA),29,22,62,79,18,13,1,0,4,14,8,15,0,11,1,1,0,2,5,0,0.29032258,12037,3B
2019,Jace Peterson,Orioles (AAA),29,90,326,377,102,62,25,5,10,58,46,46,0,56,2,3,0,6,13,3,0.312883435,12325,3B
2019,Taylor Motter,Athletics (AA),29,30,109,124,20,15,3,0,2,11,10,14,0,28,1,0,0,2,2,2,0.183486238,12399,3B
2019,Breyvic Valera,Yankees (AAA),27,65,235,268,77,52,13,1,11,31,36,26,2,24,3,0,4,4,6,4,0.327659574,12758,3B
2019,Brad Miller,Yankees (AAA),29,41,136,163,40,20,9,1,10,31,29,24,1,40,1,2,0,2,1,3,0.294117647,12775,3B
2019,Andy Burns,Blue Jays (AAA),28,88,298,350,80,55,13,2,10,39,39,48,0,57,1,2,0,12,6,4,0.268456375,12779,3B
2019,Alen Hanson,Blue Jays (AAA),26,46,157,171,30,23,3,1,3,18,18,9,0,36,1,1,3,4,7,2,0.191082802,12926,3B
2019,Phillip Evans,Cubs (AAA),26,101,363,425,104,67,22,2,13,58,53,48,0,56,9,5,0,16,0,4,0.286501377,12950,3B
2019,Mitch Walding,Phillies (AAA),26,90,282,350,58,35,11,1,11,46,40,62,2,133,3,3,0,4,2,1,0.205673758,13006,3B
2019,Robel Garcia,Cubs (AAA),26,50,178,199,50,25,9,1,15,36,32,17,1,68,3,1,0,1,2,2,0.280898876,13167,3B
2019,Robel Garcia,Cubs (AA),26,22,78,92,23,12,5,0,6,12,26,12,0,22,1,1,0,0,1,1,0.294871794,13167,3B
2019,Zach Vincej,Orioles (AAA),28,73,267,287,74,51,15,0,8,36,37,16,0,50,1,2,1,8,0,3,0.277153558,13269,3B
2019,Ildemaro Vargas,Diamondbacks (AAA),27,13,56,65,26,18,6,1,1,10,9,8,0,1,1,0,0,0,1,1,0.464285714,13324,3B
2019,Deven Marrero,Marlins (AAA),28,92,316,352,80,52,13,1,14,45,38,32,1,84,0,1,3,6,7,1,0.253164556,13325,3B
2019,Jake Lamb,Diamondbacks (AAA),28,12,39,46,7,4,2,0,1,5,7,7,0,12,0,0,0,0,0,0,0.179487179,13329,3B
2019,Humberto Arteaga,Royals (AAA),25,66,284,302,85,69,10,1,5,39,26,12,0,34,3,1,2,11,11,5,0.299295774,13595,3B
2019,Patrick Wisdom,Rangers (AAA),27,76,276,319,60,33,9,0,18,42,44,39,2,104,2,1,1,5,5,2,0.217391304,13602,3B
2019,Jeimer Candelario,Tigers (AAA),25,21,84,96,29,17,5,2,5,17,24,10,0,20,2,0,0,0,0,0,0.345238095,13621,3B
2019,Matt Duffy,Rays (AAA),28,9,33,36,9,7,1,0,1,4,9,1,0,5,1,1,0,1,0,0,0.272727272,13836,3B
2019,Patrick Kivlehan,Blue Jays (AAA),29,58,209,240,57,31,9,1,16,36,45,25,1,62,5,1,0,6,0,1,0.272727272,13910,3B
2019,Patrick Kivlehan,Blue Jays (AA),29,11,38,44,16,8,5,0,3,5,9,4,0,3,1,1,0,1,1,1,0.421052631,13910,3B
2019,Dilson Herrera,Mets (AAA),25,88,301,341,76,32,22,1,21,54,46,31,2,95,8,1,0,3,9,4,0.252491694,14335,3B
2019,Dawel Lugo,Tigers (AAA),24,63,259,280,86,59,19,3,5,42,37,15,1,47,3,3,0,7,6,3,0.332046332,14713,3B
2019,Zach Green,Giants (AAA),25,64,225,264,68,26,18,1,23,39,59,35,1,86,3,1,0,5,1,0,0.302222222,14973,3B
2019,Carlos Asuaje,Diamondbacks (AAA),27,31,85,98,20,11,6,0,3,12,15,10,0,15,2,1,0,1,1,1,0.235294117,15197,3B
2019,Jack Mayfield,Astros (AAA),28,73,272,314,79,38,23,0,18,60,52,33,0,52,3,6,0,8,6,1,0.290441176,15402,3B
2019,Allen Cordoba,Padres (A+),23,77,308,337,96,73,14,5,4,52,27,16,2,57,12,1,0,6,28,9,0.311688311,15722,3B
2019,Christian Arroyo,Rays (AAA),24,33,121,134,38,20,9,1,8,21,29,12,0,26,1,0,0,5,1,0,0.314049586,16434,3B
2019,Isiah Kiner-Falefa,Rangers (AA),24,16,57,67,17,11,4,0,2,7,11,7,0,9,2,1,0,1,1,0,0.298245614,16512,3B
2019,Shed Long,Mariners (AAA),23,52,208,231,58,39,7,4,8,37,35,20,0,59,1,1,1,2,1,3,0.278846153,16542,3B
2019,Josh Fuentes,Rockies (AAA),26,69,274,300,72,39,18,2,13,48,52,19,1,81,2,3,2,4,0,1,0.262773722,16885,3B
2019,Jung Ho Kang,Pirates (AAA),32,8,27,31,12,8,3,0,1,4,6,4,0,8,0,0,0,1,0,0,0.444444444,17182,3B
2019,Michael Chavis,Red Sox (AAA),23,12,40,48,10,4,2,0,4,7,6,7,0,9,0,1,0,1,0,0,0.25,17321,3B
2019,Kelvin Gutierrez,Royals (AAA),24,59,221,254,60,47,5,2,6,31,28,28,0,59,3,2,0,7,11,1,0.271493212,17468,3B
2019,Matt Beaty,Dodgers (AAA),26,31,119,133,36,25,7,1,3,16,17,10,0,12,4,0,0,3,0,0,0.302521008,17710,3B
2019,Ty France,Padres (AAA),24,63,246,289,94,48,21,1,24,68,72,25,1,41,16,2,0,2,1,0,0.382113821,17982,3B
2019,Edwin Rios,Dodgers (AAA),25,87,332,374,86,42,19,2,23,56,67,31,0,131,7,4,0,3,2,1,0.259036144,18316,3B
2019,Austin Riley,Braves (AAA),22,37,144,162,43,18,10,0,15,32,39,18,0,31,0,0,0,3,0,0,0.298611111,18360,3B
2019,Luis Arraez,Twins (AA),22,38,146,164,50,43,6,1,0,18,14,18,0,13,0,0,0,3,3,3,0.342465753,18568,3B
2019,Matt Thaiss,Angels (AAA),24,79,310,372,85,52,17,2,14,63,49,59,0,64,1,2,0,7,1,0,0.274193548,19318,3B
2019,Vladimir Guerrero Jr.,Blue Jays (AAA),20,9,30,34,11,7,1,0,3,7,8,4,0,2,0,0,0,1,1,0,0.366666666,19611,3B
2019,Michael Brosseau,Rays (AAA),25,68,249,292,79,42,21,1,15,51,58,33,0,51,7,3,0,9,2,3,0.317269076,19683,3B
2019,Jake Noll,Nationals (AAA),25,91,338,366,95,66,19,0,10,54,44,23,0,60,3,2,0,9,2,2,0.281065088,19703,3B
2019,Yangervis Solarte,Marlins (AAA),31,15,51,55,16,12,2,1,1,7,9,3,0,7,0,1,0,2,0,0,0.31372549,5352,3B
2019,Ruben Tejada,Mets (AAA),29,60,223,255,78,55,16,1,6,43,34,25,0,38,6,1,0,8,2,3,0.349775784,5519,3B
2019,Cristhian Adames,Giants (AAA),27,16,55,66,17,9,6,0,2,10,10,11,0,7,0,0,0,6,0,0,0.309090909,6013,3B
2019,Cristhian Adames,Cubs (AAA),27,12,39,48,10,6,2,0,2,9,6,8,0,7,0,1,0,1,1,0,0.256410256,6013,3B
2019,Alcides Escobar,White Sox (AAA),32,94,359,396,104,66,28,0,10,52,69,31,1,64,2,4,0,6,6,2,0.289693593,6310,3B
2019,Josh Prince,Diamondbacks (AAA),31,13,32,37,11,7,4,0,0,7,5,3,0,5,1,0,1,1,2,1,0.34375,6746,3B
2019,Eric Campbell,Athletics (AAA),32,76,270,317,71,41,18,0,12,52,47,41,0,55,4,1,1,11,5,1,0.262962962,6938,3B
2019,Todd Frazier,Mets (A+),33,11,37,43,8,7,0,0,1,3,8,6,1,8,0,0,0,2,0,1,0.216216216,785,3B
2019,Ryan Flaherty,Indians (AAA),32,90,329,391,91,54,19,2,16,58,63,55,6,94,3,3,1,5,1,1,0.276595744,7888,3B
2019,Eric Sogard,Blue Jays (AAA),33,9,30,38,8,5,2,0,1,7,6,7,1,4,0,1,0,0,0,0,0.266666666,7927,3B
2019,Pedro Florimon,Braves (AAA),32,93,312,361,76,58,9,3,6,47,41,43,0,107,2,4,0,9,1,1,0.243589743,8385,3B
2019,Donovan Solano,Giants (AAA),31,24,87,97,28,22,4,0,2,12,16,9,0,11,1,0,0,2,0,0,0.32183908,8623,3B
2019,Adam Rosales,Indians (AAA),36,48,175,188,39,25,7,0,7,26,17,10,0,54,3,0,0,1,1,0,0.222857142,9682,3B
2019,Adam Rosales,Twins (AAA),36,20,72,80,14,12,2,0,0,5,7,7,0,22,0,1,0,1,0,0,0.194444444,9682,3B
2019,Kyle Seager,Mariners (AAA),31,9,39,42,10,8,2,0,0,5,7,3,0,7,0,0,0,1,0,0,0.256410256,9785,3B
2019,Ivan De Jesus Jr.,White Sox (AAA),32,22,63,76,15,12,2,0,1,6,5,11,0,14,0,1,1,1,0,2,0.238095238,9886,3B
