Season,Name,Team,Level,Age,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,PlayerId,Position
2019,Kervin Pichardo,Phillies ,R,17,21,78,93,16,13,3,0,0,9,7,10,0,10,3,0,2,4,3,1,0.205128205,sa3011260,SS
2019,Bryan Arias,Astros ,A-,22,18,51,60,10,8,1,1,0,5,8,7,0,10,0,2,0,1,2,0,0.196078431,sa3011265,SS
2019,Darell Hernaiz,Orioles ,R,17,13,41,51,10,8,1,0,1,6,4,10,0,12,0,0,0,1,3,0,0.243902439,sa3011309,SS
2019,Jose Bonilla,Angels ,R,17,18,68,83,19,13,5,1,0,11,2,12,0,16,2,1,0,1,0,0,0.279411764,sa3011404,SS
2019,Ethan Paul,Pirates ,A-,22,14,54,64,10,6,3,0,1,5,3,10,0,13,0,0,0,3,0,0,0.185185185,sa3011423,SS
2019,Bryson Stott,Phillies ,A-,21,14,48,55,9,5,1,1,2,10,6,5,0,12,2,0,0,0,0,0,0.1875,sa3011443,SS
2019,Cameron Cannon,Red Sox ,A-,21,13,50,55,10,5,4,0,1,7,9,4,0,16,1,0,0,2,0,0,0.2,sa3011467,SS
2019,Yolbert Sanchez,White Sox ,R,22,14,56,61,16,10,5,0,1,12,8,4,0,6,1,0,0,0,1,1,0.285714285,sa3011471,SS
2019,Gunnar Henderson,Orioles ,R,18,11,40,45,8,7,1,0,0,8,2,3,0,13,1,1,0,1,1,1,0.2,sa3011484,SS
2019,Elijah Tatis,White Sox ,R,17,14,46,56,9,8,1,0,0,9,6,9,0,9,0,1,0,0,1,1,0.195652173,sa3011507,SS
2019,Erison Placencia,Orioles ,R,17,8,29,35,11,10,1,0,0,6,5,6,0,8,0,0,0,0,0,0,0.379310344,sa3011669,SS
2019,Elliot Soto,Rockies ,AAA,29,84,292,330,90,58,19,7,6,52,32,31,0,60,4,1,2,4,7,3,0.308219178,sa390666,SS
2019,Bengie Gonzalez,Nationals ,AAA,29,25,48,54,9,6,3,0,0,6,6,5,0,11,0,1,0,3,0,1,0.1875,sa454764,SS
2019,Peter Mooney,Rockies ,AAA,28,81,242,275,60,34,20,2,4,37,28,29,0,48,2,0,2,4,6,1,0.247933884,sa503239,SS
2019,Levi Michael,Giants ,AA,28,23,78,89,16,11,4,1,0,6,5,6,0,17,3,1,1,0,3,0,0.205128205,sa526207,SS
2019,Erick Salcedo,Angels ,AA,26,73,236,251,51,35,12,2,2,25,30,13,0,35,0,2,0,4,4,0,0.216101694,sa548029,SS
2019,Erick Salcedo,Angels ,AAA,26,11,39,42,7,5,2,0,0,3,3,2,0,5,0,0,1,1,0,0,0.179487179,sa548029,SS
2019,Drew Maggi,Twins ,AAA,30,82,297,355,85,56,15,4,10,55,41,41,1,74,14,1,2,3,7,3,0.286195286,sa549144,SS
2019,Seth Mejias-Brean,Padres ,AAA,28,89,306,329,100,78,13,1,8,47,49,21,1,62,1,1,0,4,2,0,0.326797385,sa580437,SS
2019,Jecksson Flores,Royals ,AAA,25,87,305,351,75,58,9,1,7,35,43,26,0,56,3,6,11,4,11,4,0.245901639,sa597007,SS
2019,Alfredo Reyes,Pirates ,AA,25,54,148,172,26,18,6,1,1,11,9,20,0,56,3,0,1,2,7,5,0.175675675,sa597093,SS
2019,Alberto Triunfel,Cardinals ,AA,25,67,212,234,40,28,12,0,0,22,11,16,0,61,1,1,4,7,1,4,0.188679245,sa597103,SS
2019,Luis Marte,Braves ,AAA,25,71,265,280,68,53,10,0,5,35,31,12,0,70,1,2,0,5,4,1,0.256603773,sa597106,SS
2019,Deiner Lopez,Red Sox ,AA,25,26,86,89,15,9,5,0,1,7,8,2,0,36,0,0,1,4,3,0,0.174418604,sa597152,SS
2019,Jack Lopez,Braves ,AAA,26,70,257,284,72,51,13,0,8,46,41,17,0,58,5,4,1,8,5,2,0.280155642,sa598270,SS
2019,Chris Mariscal,Mariners ,AAA,26,50,173,200,38,23,9,0,6,26,22,20,0,48,2,2,2,7,0,1,0.219653179,sa600255,SS
2019,Chris Mariscal,Mariners ,AA,26,17,65,73,20,16,1,0,3,12,11,6,0,18,2,0,0,0,2,0,0.307692307,sa600255,SS
2019,Christian Lopes,Rangers ,AA,26,67,251,301,65,42,14,1,8,46,32,39,2,59,6,4,1,4,10,2,0.258964143,sa601044,SS
2019,Christian Lopes,Rangers ,AAA,26,25,88,103,30,19,10,0,1,10,17,10,0,24,4,1,0,2,3,3,0.34090909,sa601044,SS
2019,Vimael Machin,Cubs ,AA,25,89,320,374,94,67,23,1,3,33,47,44,7,38,4,5,1,8,6,2,0.29375,sa602488,SS
2019,David Masters,Nationals ,A+,26,49,169,192,44,23,10,0,11,29,34,20,0,42,3,0,0,6,0,0,0.260355029,sa602586,SS
