Season,Name,Team,Age,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,PlayerId,Position
2019,Coco Montes,Rockies (A),22,100,374,413,98,65,23,1,9,40,62,24,0,101,6,5,4,5,5,6,0.262032085,sa3006715,SS
2019,Grant Williams,Red Sox (A),23,95,317,359,87,67,14,5,1,35,40,29,0,41,5,5,3,8,4,8,0.274447949,sa3006724,SS
2019,Ryne Ogren,Mariners (A),22,13,46,50,8,5,1,0,2,5,5,4,0,11,0,0,0,0,0,0,0.173913043,sa3006726,SS
2019,Tyler Depreta-Johnson,Rangers (A+),23,41,123,136,23,19,4,0,0,11,11,10,0,25,2,0,1,4,1,1,0.186991869,sa3006792,SS
2019,Korby Batesole,Red Sox (A+),23,22,47,53,8,8,0,0,0,4,2,2,0,12,1,1,2,0,0,0,0.170212765,sa3006847,SS
2019,Jelfry Marte,Rays (R),18,29,116,125,19,18,1,0,0,10,5,6,0,34,2,0,1,0,1,4,0.163793103,sa3006886,SS
2019,Ronny Mauricio,Mets (A),18,91,371,396,105,78,20,4,3,49,26,19,2,81,4,1,1,2,4,8,0.283018867,sa3006887,SS
2019,Leonardo Jimenez,Blue Jays (R),18,34,129,146,33,23,10,0,0,18,12,11,0,27,4,1,1,3,1,0,0.255813953,sa3006891,SS
2019,Jordan Groshans,Blue Jays (A),19,23,83,96,28,20,6,0,2,12,13,13,0,21,0,0,0,3,1,1,0.337349397,sa3006893,SS
2019,Ji-Hwan Bae,Pirates (A),19,56,219,253,66,47,18,1,0,44,19,28,0,54,1,2,3,2,18,6,0.301369863,sa3006895,SS
2019,Jonathan Ornelas,Rangers (A),19,86,316,350,80,54,18,2,6,44,26,26,1,82,3,5,0,3,10,3,0.253164556,sa3006909,SS
2019,Addison Barger,Blue Jays (R),19,13,53,58,15,11,2,0,2,13,8,5,0,13,0,0,0,0,0,2,0.283018867,sa3006910,SS
2019,Lency Delgado,White Sox (R),20,33,124,137,37,25,9,1,2,15,23,12,0,44,0,0,1,1,1,2,0.298387096,sa3006913,SS
2019,Kelvin Smith,Tigers (R),19,12,34,38,6,4,1,0,1,5,3,3,0,12,1,0,0,0,2,0,0.176470588,sa3006914,SS
2019,Kelvin Maldonado,White Sox (R),19,34,134,142,32,26,6,0,0,14,7,8,0,32,0,0,0,1,0,3,0.23880597,sa3006918,SS
2019,Daniel Schneemann,Indians (A),22,41,133,157,42,32,7,2,1,14,15,19,0,30,4,1,0,0,3,4,0.315789473,sa3006936,SS
