last_name,first_name,player_id,team_id,team,position,age,competitive_runs,hp_to_1b,sprint_speed
Semien,Marcus,543760,133,OAK,SS,29,68,4.34,27.8
Gurriel,Yuli,493329,117,HOU,1B,35,46,4.32,27.8
Dahl,David,621311,115,COL,LF,25,47,4.23,27.8
Lowe,Brandon,664040,139,TB,2B,25,43,4.2,27.8
Kiner-Falefa,Isiah,643396,140,TEX,C,24,39,4.33,27.7
Fowler,Dexter,451594,138,STL,CF,33,39,,27.7
Jones,JaCoby,592444,116,DET,CF,27,21,,27.7
Correa,Carlos,621043,117,HOU,SS,25,44,4.26,27.7
Pillar,Kevin,607680,137,SF,CF,30,48,4.31,27.7
Garcia,Greg,594824,135,SD,2B,30,25,,27.7
Swihart,Blake,596119,109,ARI,C,27,16,,27.7
Betts,Mookie,605141,111,BOS,RF,27,53,4.33,27.6
Contreras,Willson,575929,112,CHC,C,27,40,4.35,27.6
Gordon,Dee,543829,136,SEA,2B,31,57,4.13,27.6
Tauchman,Mike,643565,147,NYY,LF,29,34,4.25,27.5
Farmer,Kyle,571657,113,CIN,3B,29,15,,27.6
Frazier,Clint,640449,147,NYY,LF,25,27,,27.5
Vargas,Ildemaro,545121,109,ARI,3B,28,28,,27.5
Muncy,Max,571970,119,LAD,1B,29,40,4.31,27.5
Jansen,Danny,643376,141,TOR,C,24,36,4.43,27.5
Gallo,Joey,608336,140,TEX,LF,26,26,,27.5
Soler,Jorge,624585,118,KC,RF,27,59,4.44,27.5
Odor,Rougned,596059,140,TEX,2B,25,23,,27.5
McNeil,Jeff,643446,121,NYM,LF,27,70,4.19,27.5
Forsythe,Logan,523253,140,TEX,1B,32,40,4.52,27.5
Munoz,Yairo,622168,138,STL,SS,24,21,,27.5
Wilkerson,Stevie,592859,110,BAL,CF,27,20,,27.4
Chavis,Michael,656308,111,BOS,2B,24,20,,27.4
Castro,Starlin,516770,146,MIA,2B,29,67,4.38,27.4
Schebler,Scott,594988,113,CIN,CF,29,34,4.34,27.4
Bote,David,623520,112,CHC,3B,26,44,4.39,27.4
Conforto,Michael,624424,121,NYM,RF,26,48,,27.4
McKinney,Billy,641856,141,TOR,RF,25,43,4.3,27.4
Hernandez,Enrique,571771,119,LAD,2B,28,45,4.4,27.4
Soto,Juan,665742,120,WSH,LF,21,40,4.27,27.4
