Season,Name,Team,Age,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,PlayerId,Position
2019,Xavier Edwards,Padres (A+),19,19,80,89,26,25,0,1,0,13,5,4,0,12,1,0,4,1,6,1,0.325,sa3007018,2B
2019,Xavier Edwards,Padres (A),19,77,307,344,103,85,13,4,1,44,30,30,2,35,1,4,2,3,20,9,0.335504885,sa3007018,2B
2019,Frainyer Chavez,Rangers (A),20,91,294,329,73,63,7,2,1,38,27,28,0,66,2,2,3,6,13,7,0.248299319,sa3007019,2B
2019,Kevin Vargas,Cardinals (R),19,10,30,35,10,8,2,0,0,8,2,4,0,4,1,0,0,1,5,0,0.333333333,sa3007035,2B
2019,Cesar Garcia,Diamondbacks (R),21,33,125,141,32,21,7,2,2,19,13,16,1,21,0,0,0,1,4,1,0.256,sa3007039,2B
2019,Luke Heyer,Dodgers (A),22,70,247,281,52,28,10,3,11,35,42,29,0,89,3,2,0,8,5,0,0.210526315,sa3007042,2B
2019,Josh Shaw,Cardinals (A),22,59,188,210,38,28,10,0,0,22,14,17,0,32,5,0,0,6,1,3,0.202127659,sa3007056,2B
2019,Dionys Vallejo,Yankees (R),19,18,49,65,9,3,3,1,2,10,5,12,0,16,2,1,1,0,2,0,0.183673469,sa3007058,2B
2019,Brett Langhorne,Braves (A+),23,89,271,313,55,40,10,2,3,30,28,35,0,110,1,4,2,3,8,5,0.202952029,sa3007064,2B
2019,Greg Cullen,Braves (A),22,100,358,437,93,62,19,5,7,61,44,56,0,77,22,1,0,5,1,4,0.259776536,sa3007069,2B
2019,Gunnar Schubert,Marlins (A+),23,42,121,138,23,18,4,1,0,9,11,12,0,32,2,2,1,3,0,1,0.190082644,sa3007080,2B
2019,Joseph Pena,Athletics (A),23,66,231,281,50,43,4,2,1,37,18,40,0,47,5,3,2,8,4,4,0.216450216,sa3007087,2B
2019,Nick Ward,Athletics (A-),23,13,45,60,12,8,2,0,2,13,5,11,0,6,3,1,0,0,0,1,0.266666666,sa3007089,2B
2019,Michael Perri,Cardinals (AA),23,12,45,47,7,7,0,0,0,3,1,2,0,7,0,0,0,0,0,0,0.155555555,sa3007280,2B
2019,Raynel Delgado,Indians (A-),19,42,156,175,36,24,8,2,2,17,14,16,2,53,0,3,0,1,4,4,0.23076923,sa3007288,2B
2019,Brhet Bewley,Royals (A),22,41,151,176,36,30,4,1,1,13,11,17,0,46,1,1,6,4,0,2,0.238410596,sa3007289,2B
2019,Luis Garcia,Phillies (A),18,97,353,400,67,50,10,3,4,26,28,36,1,95,4,4,3,7,8,5,0.189801699,sa3007295,2B
2019,Yorlis Rodriguez,Giants (A-),19,33,124,137,31,21,8,1,1,22,13,8,0,20,4,1,0,1,1,1,0.25,sa3007299,2B
2019,Kenen Irizarry,Rangers (A-),19,27,97,112,29,20,6,1,2,15,17,9,0,30,2,1,2,0,2,1,0.298969072,sa3007310,2B
2019,Hunter Lee,Twins (A),23,20,58,70,7,5,0,0,2,7,4,9,1,15,1,1,1,1,0,0,0.120689655,sa3007325,2B
2019,Bladimir Susana,Pirates (R),19,12,34,38,11,11,0,0,0,6,4,4,0,8,0,0,0,0,3,0,0.323529411,sa3007334,2B
2019,Bladimir Susana,Pirates (R),19,14,36,39,10,10,0,0,0,7,6,0,0,3,1,0,2,0,2,2,0.277777777,sa3007334,2B
2019,Ramon Mendoza,Cardinals (R),18,20,61,74,15,10,4,0,1,11,5,10,0,18,0,1,2,1,0,2,0.245901639,sa3007513,2B
2019,Connor Smith,Indians (AA),22,8,29,32,4,1,2,0,1,3,2,1,0,8,1,0,1,0,0,0,0.137931034,sa3007514,2B
2019,Connor Smith,Indians (A),22,43,134,158,28,23,3,2,0,16,11,17,0,26,6,1,0,2,2,2,0.208955223,sa3007514,2B
2019,Connor Smith,Indians (A+),22,13,48,53,14,13,1,0,0,3,4,5,0,13,0,0,0,2,1,0,0.291666666,sa3007514,2B
2019,Omar Matos,Pirates (R),19,25,62,72,16,13,2,1,0,9,8,10,0,16,0,0,0,0,8,1,0.258064516,sa3007517,2B
2019,Chase Lambert,Pirates (A),23,11,31,40,11,8,1,1,1,8,3,8,0,6,1,0,0,0,3,1,0.354838709,sa3007526,2B
2019,Chase Lambert,Pirates (A+),23,30,86,106,18,13,4,0,1,9,8,14,0,25,1,2,3,1,1,2,0.209302325,sa3007526,2B
2019,Dean Lockery,Pirates (A-),23,26,83,99,20,16,4,0,0,12,7,15,2,19,0,1,0,2,2,0,0.240963855,sa3007527,2B
2019,Patrick Dorrian,Orioles (A+),23,22,81,88,24,15,5,1,3,11,13,7,0,17,0,0,0,1,0,0,0.296296296,sa3007629,2B
2019,Kyle Gray,Yankees (A),22,82,296,340,70,44,15,6,5,47,38,37,0,99,3,2,2,3,9,5,0.236486486,sa3007636,2B
2019,Kyle Gray,Yankees (A+),22,10,35,37,9,8,1,0,0,3,4,2,0,4,0,0,0,0,2,0,0.257142857,sa3007636,2B
2019,Kyle Marinconz,Nationals (A),23,87,304,354,81,57,17,2,5,50,33,39,0,64,6,2,3,6,11,4,0.266447368,sa3007638,2B
2019,Terrin Vavra,Rockies (A),22,98,360,436,113,74,28,1,10,75,49,59,1,61,2,9,6,4,18,9,0.313888888,sa3007643,2B
2019,Clayton Daniel,Cubs (A),24,22,78,95,23,16,6,1,0,18,10,14,0,12,2,1,0,3,2,1,0.294871794,sa3007646,2B
2019,Kyle Mottice,Pirates (A),23,36,120,155,46,38,8,0,0,35,17,17,0,16,15,0,3,0,16,5,0.383333333,sa3007655,2B
2019,Jeremiah Jackson,Angels (R),19,40,157,180,39,15,9,1,14,29,38,17,0,63,1,5,0,2,3,0,0.248407643,sa3007740,2B
2019,Blaze Alexander,Diamondbacks (A),20,69,240,282,58,42,9,2,5,39,32,29,0,61,9,4,0,5,12,3,0.241666666,sa3007742,2B
2019,Liam Sabino,Cardinals (R),23,31,104,124,28,17,5,1,5,19,19,17,0,32,3,0,0,3,2,1,0.269230769,sa3007821,2B
2019,Wilker Vargas,Red Sox (R),18,18,47,63,20,16,4,0,0,14,3,14,0,9,2,0,0,1,6,1,0.425531914,sa3007825,2B
2019,Trey Dawson,Astros (A),22,85,284,324,59,42,12,2,3,40,37,33,0,83,6,1,0,4,8,6,0.207746478,sa3007868,2B
2019,Alvaro Rubalcaba,Angels (A+),24,45,135,159,28,18,6,2,2,20,12,19,0,47,3,2,0,3,2,1,0.207407407,sa3007882,2B
2019,Dylan Harris,Reds (A),24,14,45,51,6,6,0,0,0,2,0,5,0,7,1,0,0,1,0,1,0.133333333,sa3007918,2B
2019,Levi Jordan,Cubs (A),23,64,223,248,50,38,10,1,1,27,16,19,0,46,3,0,3,2,5,3,0.224215246,sa3007976,2B
2019,Zack Gahagan,Cardinals (A+),23,26,82,92,18,13,3,1,1,9,6,10,0,23,0,0,0,1,0,0,0.219512195,sa3008001,2B
2019,Kody Clemens,Tigers (A+),23,100,358,408,81,47,17,7,10,37,49,38,1,90,4,7,1,7,9,3,0.226256983,sa3008002,2B
2019,Kyle Datres,Rockies (A),23,68,221,261,59,29,18,3,9,43,30,28,1,57,9,1,2,2,13,6,0.266968325,sa3008029,2B
2019,Sam McWilliams,Dodgers (R),21,34,136,167,42,20,9,2,11,45,28,25,0,47,4,2,0,0,6,0,0.308823529,sa3008053,2B
2019,Carlos Cortes,Mets (A+),22,101,364,418,89,59,20,3,7,50,52,38,1,63,6,7,3,3,5,3,0.244505494,sa3008079,2B
