Season,Name,Team,Age,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,PlayerId,Position
2019,Garrett Stubbs,Astros (AAA),26,47,145,171,35,21,8,0,6,23,17,21,0,26,3,2,0,5,7,1,0.24137931,18067,C
2019,Austin Allen,Padres (AAA),25,48,193,216,58,28,16,0,14,34,41,18,0,43,2,3,0,7,0,0,0.300518134,18083,C
2019,Seby Zavala,White Sox (AAA),25,61,229,251,50,24,10,0,16,40,36,18,0,96,2,2,0,5,0,0,0.218340611,18887,C
2019,Zack Collins,White Sox (AAA),24,61,202,254,54,30,14,1,9,38,51,44,1,73,1,7,0,2,0,0,0.267326732,19181,C
2019,Will Smith,Dodgers (AAA),24,61,223,268,60,27,11,2,20,48,54,39,1,49,3,3,0,5,1,0,0.269058295,19197,C
2019,Jake Rogers,Tigers (AA),24,28,86,112,26,17,3,1,5,17,21,19,0,26,3,4,0,1,0,0,0.302325581,19452,C
2019,Jake Rogers,Tigers (AAA),24,48,166,191,37,17,10,1,9,29,31,18,0,53,6,0,1,2,0,0,0.222891566,19452,C
2019,Andrew Knizner,Cardinals (AAA),24,53,202,228,56,41,8,0,7,32,24,18,1,28,8,0,0,5,2,0,0.277227722,19514,C
2019,Jordan Pacheco,Mariners (AAA),33,23,81,92,22,17,5,0,0,10,7,8,0,16,2,1,0,3,0,0,0.271604938,2677,C
2019,Dioner Navarro,Indians (AAA),35,17,60,68,11,8,2,0,1,6,7,8,0,13,0,0,0,1,0,0,0.183333333,3179,C
2019,Drew Butera,Rockies (AAA),35,46,149,182,43,28,9,1,5,23,22,27,2,35,2,4,0,2,1,0,0.288590604,3411,C
2019,Rene Rivera,Mets (AAA),35,78,286,317,71,45,8,0,18,40,56,22,0,86,4,4,1,14,0,0,0.248251748,3648,C
2019,Chris Stewart,Padres (AAA),37,19,65,73,18,15,2,0,1,9,8,5,0,10,1,1,1,3,0,0,0.276923076,3878,C
2019,Jose Lobaton,Mariners (AAA),34,70,269,297,65,35,18,0,12,32,37,25,0,77,2,1,0,9,1,0,0.241635687,4243,C
2019,Erik Kratz,Yankees (AAA),39,24,76,88,24,14,7,0,3,15,12,11,0,14,1,0,0,1,1,0,0.315789473,4403,C
2019,Stephen Vogt,Giants (AAA),34,17,58,72,14,7,3,0,4,9,7,14,0,11,0,0,0,1,0,0,0.24137931,5000,C
2019,Wilkin Castillo,Marlins (AAA),35,44,142,157,35,22,6,1,6,20,19,13,2,22,1,0,1,2,4,1,0.246478873,5124,C
2019,Tuffy Gosewisch,Brewers (AAA),35,37,83,98,15,11,1,0,3,8,8,10,0,25,4,1,0,2,0,1,0.180722891,5277,C
2019,Juan Graterol,Reds (AAA),30,58,209,226,52,41,8,1,2,19,26,14,0,18,2,1,0,11,0,1,0.248803827,5398,C
2019,Kyle Higashioka,Yankees (AAA),29,53,179,201,48,24,8,0,16,33,40,18,0,42,3,1,0,6,0,0,0.268156424,5517,C
2019,Jesus Sucre,Orioles (AAA),31,49,181,194,52,37,15,0,0,20,19,12,0,29,1,0,0,7,0,0,0.287292817,5942,C
2019,Tony Sanchez,Rangers (AA),31,48,171,195,40,29,9,0,2,18,24,13,0,44,9,2,0,2,0,0,0.233918128,6178,C
2019,Bobby Wilson,Tigers (AAA),36,22,77,86,21,15,2,0,4,11,9,9,0,21,0,0,0,0,0,0,0.272727272,6564,C
2019,Caleb Joseph,Diamondbacks (AAA),33,37,123,138,33,15,10,1,7,22,21,11,0,34,2,2,0,1,0,0,0.268292682,7087,C
2019,Alberto Rosario,Diamondbacks (AAA),32,28,88,98,23,19,3,1,0,10,6,9,2,16,1,0,0,3,0,1,0.261363636,7125,C
2019,Juan Centeno,Red Sox (AAA),29,63,212,236,53,40,10,0,3,22,33,18,1,37,2,3,1,14,1,0,0.25,7168,C
2019,Wilin Rosario,Twins (AAA),30,75,288,313,92,60,18,0,14,50,62,16,0,53,3,4,0,7,1,1,0.319444444,8002,C
2019,Francisco Pena,Giants (AAA),29,45,172,187,57,31,15,0,11,27,32,11,0,28,1,3,0,4,1,0,0.331395348,8298,C
2019,Tim Federowicz,Indians (AAA),31,26,90,103,25,17,6,0,2,7,13,11,0,23,0,1,1,3,0,0,0.277777777,8609,C
2019,Ryan Lavarnway,Yankees (AAA),31,35,108,129,23,18,2,0,3,13,19,17,0,26,3,1,0,3,0,0,0.212962962,8879,C
2019,Chris Herrmann,Athletics (AAA),31,13,51,58,17,9,3,1,4,14,13,6,0,18,0,1,0,0,0,0,0.333333333,9284,C
2019,Adam Moore,Rangers (AAA),35,28,94,111,21,16,2,1,2,11,18,16,0,44,1,0,0,2,0,0,0.223404255,9362,C
2019,Matt McBride,Phillies (AAA),34,43,136,147,32,18,5,0,9,19,27,8,0,33,2,1,0,2,0,1,0.235294117,9373,C
2019,Dustin Garneau,Angels (AAA),31,26,83,98,19,5,8,0,6,16,13,11,0,28,4,0,0,6,0,0,0.228915662,9433,C
2019,Josh Thole,Dodgers (AAA),32,25,74,90,15,12,2,0,1,8,4,14,0,19,1,1,0,1,0,0,0.202702702,9689,C
2019,Josh Thole,Dodgers (AA),32,22,65,74,19,16,3,0,0,7,10,7,0,16,1,1,0,1,0,0,0.292307692,9689,C
2019,Josh Thole,Angels (AAA),32,9,32,37,6,5,0,0,1,4,6,5,0,12,0,0,0,1,0,0,0.1875,9689,C
2019,Steven Baron,Pirates (AAA),28,36,105,118,21,17,2,0,2,15,8,11,0,28,2,0,0,2,0,0,0.2,9787,C
